6.9,Good,0,Good
8,Good,23.75,Good
6.85,Good,0,Good
6.86,Good,30,Warning
6.87,Good,24,Good
7,Good,26.18,Warning
6.94,Good,25,Warning
6.89,Good,24,Good
6.92,Good,30,Warning
6.99,Good,25,Warning
7,Good,25.18,Warning
6.93,Good,24.04,Good
6.93,Good,24,Good
6.92,Good,25,Warning
6.92,Good,24.17,Good
7,Good,30,Warning
6.95,Good,25,Warning
6.94,Good,23.6,Good
8,Good,24,Good
7.02,Good,25,Warning
6.98,Good,23.69,Good
7.04,Good,25,Warning
7.07,Good,24.1,Good
7.03,Good,23.25,Good
7.06,Good,24,Good
8,Good,22.58,Good
7.02,Good,21.17,Good
7.1,Good,20.69,Good
7,Good,24,Good
7,Good,20.07,Good
7.2,Good,18.9,Good
7,Good,18.02,Good
7,Good,17.42,Good
8,Good,17.38,Good
7.21,Good,17.64,Good
7,Good,17.65,Good
7,Good,17.67,Good
7.26,Good,18.32,Good
7,Good,18.91,Good
7.34,Good,24.5,Good
7,Good,20.38,Good
6,Warning,20.71,Good
7.18,Good,19.88,Good
7.11,Good,18.92,Good
6,Warning,18.11,Good
7,Good,24.5,Good
7.13,Good,17.34,Good
6,Warning,17.6,Good
7.25,Good,17.19,Good
7,Good,16.53,Good
6,Warning,16.36,Good
7.32,Good,16.58,Good
6,Warning,16.81,Good
7.18,Good,15.51,Good
6,Warning,24.5,Good
7.13,Good,15.35,Good
6,Warning,15.57,Good
6,Warning,15,Good
5,Warning,14.55,Good
6.5,Good,24.5,Good
6,Warning,14.15,Good
7.09,Good,14.38,Good
6.5,Good,14.87,Good
6,Warning,15.28,Good
7,Good,15.91,Good
5,Warning,16.06,Good
5.5,Warning,14.6,Good
7,Good,14.18,Good
6,Warning,24.5,Good
5.5,Warning,14.08,Good
7.05,Good,12.71,Good
6,Warning,10.78,Good
5.5,Warning,10.1,Good
7,Good,9.8,Good
6,Warning,8.66,Good
5.5,Warning,8.4,Good
5,Warning,8.38,Good
5,Warning,9.02,Good
5,Warning,30,Warning
5,Warning,31,Bad
5,Warning,30,Warning
6,Warning,31,Bad
5.5,Warning,30,Warning
5,Warning,31,Bad
5.5,Warning,30,Warning
6,Warning,31,Bad
5,Warning,30,Warning
5.5,Warning,31,Bad
6,Warning,30,Warning
5,Warning,33,Bad
6,Warning,32,Bad
6,Warning,30,Warning
5.5,Warning,31,Bad
5,Warning,33,Bad
5.5,Warning,32,Bad
7,Good,31,Bad
5,Warning,32,Bad
4.5,Warning,32,Bad
4.5,Warning,31,Bad
5.5,Warning,32,Bad
4.5,Warning,34,Bad
4.5,Warning,32,Bad
4.4,Warning,31,Bad
4,Bad,30,Warning
4.1,Warning,31,Bad
3,Bad,32,Bad
4.2,Warning,31,Bad
4.1,Warning,32,Bad
4,Bad,30,Warning
4.1,Warning,32,Bad
4,Bad,31,Bad
4.1,Warning,4.42,Good
5,Warning,4.8,Good
4.5,Warning,30,Warning
3,Bad,4.98,Good
4.1,Warning,5.68,Good
4,Bad,5.12,Good
5,Warning,4.34,Good
4,Bad,0,Good
4,Bad,4.48,Good
5,Warning,4.6,Good
4,Bad,0,Good
4,Bad,4.67,Good
4,Bad,4.77,Good
4,Bad,0,Good
4,Bad,4.98,Good
3.4,Bad,5.19,Good
3.5,Bad,5.68,Good
2,Bad,0,Good
1,Bad,5.75,Good
2,Bad,5.69,Good
1,Bad,0,Good
0,Bad,4.35,Good
